subjects,kosen,department,elective,grade1,grade2,grade3,grade4,grade5,notes
数理統計学,福井高専,電子情報工学科,0,,,2,,,
応用数学,福井高専,電子情報工学科,0,,,,2,,
応用物理I,福井高専,電子情報工学科,0,,,2,,,
応用物理II,福井高専,電子情報工学科,0,,,,2,,
専門基礎I,福井高専,電子情報工学科,0,2,,,,,
専門基礎II,福井高専,電子情報工学科,0,2,,,,,
専門基礎III,福井高専,電子情報工学科,0,2,,,,,
機械工学概論,福井高専,電子情報工学科,0,,,,2,,
電子工学基礎,福井高専,電子情報工学科,0,,2,,,,
電気回路,福井高専,電子情報工学科,0,,,2,,,
信号解析基礎,福井高専,電子情報工学科,0,,,,1,,
電子回路I,福井高専,電子情報工学科,0,,,2,,,
電子回路II,福井高専,電子情報工学科,0,,,,2,,
電気時期学I,福井高専,電子情報工学科,0,,,1,,,
電気磁気学II,福井高専,電子情報工学科,0,,,,2,,
数値計算,福井高専,電子情報工学科,0,,,1,,,
電子材料・デバイス,福井高専,電子情報工学科,0,,,,2,,
工学英語,福井高専,電子情報工学科,0,,,,,1,
情報工学基礎,福井高専,電子情報工学科,0,,1,,,,
情報基礎演習,福井高専,電子情報工学科,0,,1,,,,
プログラミング基礎,福井高専,電子情報工学科,0,,2,,,,
プログラミング応用,福井高専,電子情報工学科,0,,,2,,,
情報ネットワーク基礎,福井高専,電子情報工学科,0,,,1,,,
論理回路,福井高専,電子情報工学科,0,,1,,,,
計算機概論I,福井高専,電子情報工学科,0,,,2,,,
計算機概論II,福井高専,電子情報工学科,0,,,,1,,
オペレーティングシステム,福井高専,電子情報工学科,0,,,2,,,
創造工学演習,福井高専,電子情報工学科,0,,,,2,,
ソフトウェア工学,福井高専,電子情報工学科,0,,,,1,,
情報構造論,福井高専,電子情報工学科,0,,,,2,,
制御工学,福井高専,電子情報工学科,0,,,,,2,
通信システム,福井高専,電子情報工学科,0,,,,,1,
情報ネットワーク,福井高専,電子情報工学科,0,,,,,1,
情報理論I,福井高専,電子情報工学科,0,,,,1,,
情報理論II,福井高専,電子情報工学科,0,,,,,1,
電子情報工学実験I,福井高専,電子情報工学科,0,,4,,,,
電子情報工学実験II,福井高専,電子情報工学科,0,,,4,,,
電子情報工学実験III,福井高専,電子情報工学科,0,,,,4,,
電子情報工学実験IV,福井高専,電子情報工学科,0,,,,,2,
卒業研究,福井高専,電子情報工学科,0,,,,,9,
情報数学,福井高専,電子情報工学科,1,,,,,1,電子情報工学科内の選択内で4単位以上
人工知能,福井高専,電子情報工学科,1,,,,,1,電子情報工学科内の選択内で5単位以上
計算機アーキテクチャ,福井高専,電子情報工学科,1,,,,,1,電子情報工学科内の選択内で6単位以上
ディジタル信号処理,福井高専,電子情報工学科,1,,,,,1,電子情報工学科内の選択内で7単位以上
システム工学,福井高専,電子情報工学科,1,,,,,1,電子情報工学科内の選択内で8単位以上
計算機シミュレーション,福井高専,電子情報工学科,1,,,,,1,電子情報工学科内の選択内で9単位以上
認知科学,福井高専,電子情報工学科,1,,,,,1,電子情報工学科内の選択内で10単位以上
データベース,福井高専,電子情報工学科,1,,,,,1,電子情報工学科内の選択内で11単位以上
プロジェクト演習,福井高専,学際領域,0,,,,1,,
熱流体エネルギー概論,福井高専,環境・エネルギー群,1,,,1,,,群内で2単位以上
電力エネルギー工学,福井高専,環境・エネルギー群,1,,,1,,,群内で3単位以上
電磁場エネルギー基礎,福井高専,環境・エネルギー群,1,,,,,1,群内で4単位以上
環境科学,福井高専,環境・エネルギー群,1,,,,,1,群内で5単位以上
環境保全工学,福井高専,環境・エネルギー群,1,,,,1,,群内で6単位以上
他大学等科目（学際）,福井高専,環境・エネルギー群,1,,,,,,群内で7単位以上
ロボットシステム,福井高専,情報・制御群,1,,,,,1,群内で8単位以上
電子計測制御,福井高専,情報・制御群,1,,,,,1,群内で9単位以上
情報・制御基礎,福井高専,情報・制御群,1,,,1,,,群内で10単位以上
コンピュータ化学,福井高専,情報・制御群,1,,,,1,,群内で11単位以上
空間情報工学,福井高専,情報・制御群,1,,,1,,,群内で12単位以上
他大学等科目（学際）,福井高専,情報・制御群,1,,,,,,群内で13単位以上
機械材料,福井高専,材料化学群,1,,,,1,,群内で14単位以上
電気電子材料,福井高専,材料化学群,1,,,1,,,群内で15単位以上
センサ材料工学,福井高専,材料化学群,1,,,,,1,群内で16単位以上
有機・高分子材料,福井高専,材料化学群,1,,,1,,,群内で17単位以上
建設材料,福井高専,材料化学群,1,,,,,1,群内で18単位以上
他大学等科目（学際）,福井高専,材料化学群,1,,,,,,群内で19単位以上
国語I,福井高専,一般,0,2,,,,,
国語II,福井高専,一般,0,,2,,,,
国語III,福井高専,一般,0,,,2,,,
国語表現,福井高専,一般,0,,,,2,,
公共社会I,福井高専,一般,0,,2,,,,
公共社会II,福井高専,一般,0,,,1,,,
公共社会III,福井高専,一般,0,,,1,,,
歴史I,福井高専,一般,0,,2,,,,
歴史II,福井高専,一般,0,,,2,,,
地理I,福井高専,一般,0,1,,,,,
地理II,福井高専,一般,0,1,,,,,
基礎解析A,福井高専,一般,0,4,,,,,
基礎解析B,福井高専,一般,0,3,,,,,
解析I,福井高専,一般,0,,4,,,,
線形代数,福井高専,一般,0,,2,,,,
解析II,福井高専,一般,0,,,3,,,
解析III,福井高専,一般,0,,,,2,,
物理基礎,福井高専,一般,0,2,,,,,
物理,福井高専,一般,0,,3,,,,
化学I,福井高専,一般,0,2,,,,,
化学II,福井高専,一般,0,,2,,,,
生物,福井高専,一般,0,1,,,,,
保健体育I,福井高専,一般,0,4,,,,,
保健体育II,福井高専,一般,0,,2,,,,
保健体育III,福井高専,一般,0,,,2,,,
生涯スポーツ実習,福井高専,一般,0,,,,2,,
美術,福井高専,一般,0,,1,,,,
音楽,福井高専,一般,0,1,,,,,
英語I,福井高専,一般,0,4,,,,,
コミュニケーション,福井高専,一般,0,2,,,,,
英語II,福井高専,一般,0,,4,,,,
英語III,福井高専,一般,0,,,4,,,
英語IV,福井高専,一般,0,,,,2,,
英語V,福井高専,一般,0,,,,,2,
第2外国語I,福井高専,一般,0,,,,2,,
工学倫理,福井高専,一般,0,,,,,1,一般の選択内で2単位以上
第2外国語II,福井高専,一般,1,,,,,1,一般の選択内で2単位以上
第2外国語III,福井高専,一般,1,,,,,1,一般の選択内で2単位以上
言語文化特講,福井高専,一般,1,,,,,1,一般の選択内で2単位以上
日本表現演習,福井高専,一般,1,,,,,1,一般の選択内で2単位以上
日本文学論,福井高専,一般,1,,,,,1,一般の選択内で2単位以上
哲学,福井高専,一般,1,,,,,1,一般の選択内で2単位以上
歴史学特講,福井高専,一般,1,,,,,1,一般の選択内で2単位以上
数学特講,福井高専,一般,1,,,,,1,一般の選択内で2単位以上
英語特講,福井高専,一般,1,,,,,1,一般の選択内で2単位以上
他大学等科目（一般）,福井高専,一般,1,,,,,1,一般の選択内で2単位以上
日本語I,福井高専,特設科目,1,,,2,,,留学生のみ対象
日本語II,福井高専,特設科目,1,,,,2,,留学生のみ対象
基礎数学,福井高専,特設科目,1,,,2,,,留学生のみ対象
基礎物理,福井高専,特設科目,1,,,2,,,留学生のみ対象
