事業所名,電気起算校舎(t-CO2),電気起算寄宿舎(t-CO2),化石燃料起算校舎(t-CO2),化石燃料起算寄宿舎(t-CO2)
函館,682,166,611,175
苫小牧,692,120,590,325
釧路,646,190,707,392
旭川,568,183,599,206
八戸,728,106,594,701
一関,597,240,458,195
仙台(広瀬),688,96,302,77
仙台(名取),814,87,412,49
秋田,521,108,542,311
鶴岡,595,355,277,182
福島,712,141,304,110
茨城,533,155,101,77
小山,831,158,33,90
群馬,657,89,368,54
木更津,674,156,321,40
東京,797,81,68,96
長岡,922,156,488,293
富山(本郷),657,110,183,35
富山(射水),481,154,285,106
石川,1064,197,31,92
福井,717,140,168,91
長野,381,259,189,114
岐阜,552,226,166,106
沼津,1006,306,37,154
豊田,409,163,223,209
鳥羽,564,148,185,66
鈴鹿,521,191,29,182
舞鶴,331,293,268,214
明石,572,134,11,28
奈良,639,126,240,44
和歌山,481,284,205,179
米子,586,136,22,134
松江,846,253,12,122
津山,403,305,24,41
広島,313,347,174,90
呉,629,169,187,84
徳山,586,74,89,21
宇部,772,373,64,14
大島,496,217,87,107
阿南,726,144,16,41
香川(高松),681,184,12,37
香川(詫間),659,281,83,130
新居浜,540,301,25,133
弓削,551,434,261,43
高知,707,231,29,190
久留米,597,80,62,16
有明,468,144,202,87
北九州,531,91,250,32
佐世保,379,205,101,37
熊本(八代),471,187,18,162
熊本(熊本),375,131,51,30
大分,458,140,314,78
都城,396,158,265,184
鹿児島,520,171,255,159
沖縄,1537,490,170,60
機構本部,57,0,21,0
