id,name_ja,name_en,img_emblem
hakodate,函館高専,"NIT, Hakodate KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/0.jpg
tomakomai,苫小牧高専,"NIT, Tomakomai KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/1.jpg
kushiro,釧路高専,"NIT, Kushiro KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/2.jpg
asahikawa,旭川高専,"NIT, Asahikawa KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/3.jpg
hachinohe,八戸高専,"NIT, Hachinohe KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/4.jpg
ichinoseki,一関高専,"NIT, Ichinoseki KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/5.jpg
sendai,仙台高専,"NIT, Sendai KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/6.jpg
akita,秋田高専,"NIT, Akita KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/7.jpg
tsuruoka,鶴岡高専,"NIT, Tsuruoka KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/8.jpg
fukushima,福島高専,"NIT, Fukushima KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/9.jpg
ibaraki,茨城高専,"NIT, Ibaraki KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/10.jpg
oyama,小山高専,"NIT, Oyama KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/11.jpg
gunma,群馬高専,"NIT, Gunma KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/12.jpg
kisarazu,木更津高専,"NIT, Kisarazu KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/13.jpg
tokyo,東京高専,"NIT, Tokyo KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/14.jpg
nagano,長岡高専,"NIT, Nagano KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/15.jpg
toyama,富山高専,"NIT, Toyama KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/19.jpg
ishikawa,石川高専,"NIT, Ishikawa KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/20.jpg
fukui,福井高専,"NIT, Fukui KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/21.jpg
nagano,長野高専,"NIT, Nagano KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/22.jpg
gifu,岐阜高専,"NIT, Gifu KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/23.jpg
numazu,沼津高専,"NIT, Numazu KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/24.jpg
toyama,豊田高専,"NIT, Toyota KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/25.jpg
toba,鳥羽商船高専,"NIT, Toba shosen KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/26.jpg
suzuka,鈴鹿高専,"NIT, Suzuka KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/27.jpg
maizuru,舞鶴高専,"NIT, Maizuru KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/28.jpg
akashi,証高専,"NIT, Akashi KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/29.jpg
nara,奈良高専,"NIT, Nara KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/30.jpg
wakayama,和歌山高専,"NIT, Wakayama KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/31.jpg
yonago,米子高専,"NIT, Yonago KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/32.jpg
matsue,松江高専,"NIT, Matsue KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/33.jpg
tsuyama,津山高専,"NIT, Tsuyama KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/34.jpg
hiroshima,広島商船高専,"NIT, Hiroshima shosen KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/0.jpg
kure,呉高専,"NIT, Kure KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/1.jpg
tokuyama,徳山高専,"NIT, Tokuyama KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/2.jpg
ube,宇部高専,"NIT, Ube KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/3.jpg
oshima,大島商船高専,"NIT, Oshima shosen KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/4.jpg
anan,阿南高専,"NIT, Anan KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/5.jpg
kagawa,香川高専,"NIT, Kagawa KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/6.jpg
niihama,新居浜高専,"NIT, Niihama KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/7.jpg
yuge,弓削商船高専,"NIT, Yuge shosen KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/8.jpg
kochi,高知高専,"NIT, Kochi KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/9.jpg
kurume,久留米高専,"NIT, Kurume KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/10.jpg
ariake,有明高専,"NIT, Ariake KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/11.jpg
kitakyushu,北九州高専,"NIT, Kitakyushu KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/12.jpg
sasebo,佐世保高専,"NIT, Sasebo KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/13.jpg
kumamoto,熊本高専,"NIT, Kumamoto KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/14.jpg
oita,大分高専,"NIT, Oita KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/15.jpg
miyakonojo,都城高専,"NIT, Miyakonojo KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/20.jpg
kagoshima,鹿児島高専,"NIT, Kagoshima KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/21.jpg
okinawa,沖縄高専,"NIT, Okinawa KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/22.jpg
toritsu,東京都立産業技術高専,Tokyo Metropolitan KOSEN,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/23.jpg
osaka,大阪公立大学高専,Osaka Metropolitan University KOSEN,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/24.jpg
kobe,神戸市立高専,Kobe City KOSEN,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/25.jpg
salesian,サレジオ高専,Salesian Polytechnic (KOSEN),https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/26.jpg
kanazawa,国際高専,International KOSEN Kanazawa,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/27.jpg
kindai,近畿大学高専,Kindai University KOSEN,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/28.jpg
kamiyama,神山まるごと高専,KAMIYAMA Marugoto KOSEN,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/29.jpg
kmitl,キングモンクット工科大学ラカバン校付属高専,KOSEN-KMITL,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/30.jpg
kmutt,キングモンクット工科大学トンブリ校付属高専,KOSEN KMUTT,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/31.jpg
mongol,モンゴル高専,Mongol KOSEN,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/32.jpg
must,モンゴル科学技術大学附属高専,MUST-KOSEN KOSEN,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/33.jpg
newmongol,新モンゴル高専,New Mongol KOSEN,https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_2/34.jpg
