name,shortname,shortname2,owner,type,pref,city,URL,lat,lng,scode
仙台高等専門学校 名取キャンパス,仙台（名取）,名取,高専機構,スーパー高専,宮城県,宮城県名取市,https://www.sendai-nct.ac.jp/,38.167531,140.865123,G104110101041
仙台高等専門学校 広瀬キャンパス,仙台（広瀬）,広瀬,高専機構,スーパー高専,宮城県,宮城県仙台市,https://www.sendai-nct.ac.jp/,38.275525,140.750163,G104110101041
富山高等専門学校 本郷キャンパス,富山（本郷）,本郷,高専機構,スーパー高専,富山県,富山県富山市,https://www.nc-toyama.ac.jp/,36.650773,137.24434,G116110105383
富山高等専門学校 射水キャンパス,富山（射水）,射水,高専機構,スーパー高専,富山県,富山県射水市,https://www.nc-toyama.ac.jp/,36.758867,137.158861,G116110105383
香川高等専門学校 高松キャンパス,香川（高松）,高松,高専機構,スーパー高専,香川県,香川県高松市,https://www.kagawa-nct.ac.jp/,34.311115,134.011101,G137110110372
香川高等専門学校 詫間キャンパス,香川（詫間）,詫間,高専機構,スーパー高専,香川県,香川県三豊市,https://www.kagawa-nct.ac.jp/,34.233939,133.635752,G137110110372
熊本高等専門学校 熊本キャンパス,熊本（熊本）,熊本,高専機構,スーパー高専,熊本県,熊本県合志市,https://kumamoto-nct.ac.jp/,32.876749,130.748036,G143110111408
熊本高等専門学校 八代キャンパス,熊本（八代）,八代,高専機構,スーパー高専,熊本県,熊本県八代市,https://kumamoto-nct.ac.jp/,32.47588,130.6069,G143110111408
函館工業高等専門学校,函館,函館,高専機構,国立,北海道,北海道函館市,https://www.hakodate-ct.ac.jp/,41.783771,140.802522,G101110100535
苫小牧工業高等専門学校,苫小牧,苫小牧,高専機構,国立,北海道,北海道苫小牧市,https://www.tomakomai-ct.ac.jp/,42.623135,141.494994,G101110100544
釧路工業高等専門学校,釧路,釧路,高専機構,国立,北海道,北海道釧路市,https://www.kushiro-ct.ac.jp/,43.015923,144.262179,G101110100553
旭川工業高等専門学校,旭川,旭川,高専機構,国立,北海道,北海道旭川市,https://www.asahikawa-nct.ac.jp/,43.811739,142.353516,G101110100562
八戸工業高等専門学校,八戸,八戸,高専機構,国立,青森県,青森県八戸市,https://www.hachinohe-ct.ac.jp/,40.492563,141.450112,G102110100721
一関工業高等専門学校,一関,一関,高専機構,国立,岩手県,岩手県一関市,https://www.ichinoseki.ac.jp/,38.924153,141.107511,G103110100846
秋田工業高等専門学校,秋田,秋田,高専機構,国立,秋田県,秋田県秋田市,https://www.akita-nct.ac.jp/,39.771495,140.081491,G105110101166
鶴岡工業高等専門学校,鶴岡,鶴岡,高専機構,国立,山形県,山形県鶴岡市,https://www.tsuruoka-nct.ac.jp/,38.709372,139.797755,G106110101263
福島工業高等専門学校,福島,福島,高専機構,国立,福島県,福島県いわき市,https://www.fukushima-nct.ac.jp/,37.033209,140.889302,G107110101404
茨城工業高等専門学校,茨城,茨城,高専機構,国立,茨城県,茨城県ひたちなか市,https://www.ibaraki-ct.ac.jp/,36.399293,140.551264,G108110101546
小山工業高等専門学校,小山,小山,高専機構,国立,栃木県,栃木県小山市,https://www.oyama-ct.ac.jp/,36.318725,139.842956,G109110101705
群馬工業高等専門学校,群馬,群馬,高専機構,国立,群馬県,群馬県前橋市,https://www.gunma-ct.ac.jp/,36.376112,139.022831,G110110101935
木更津工業高等専門学校,木更津,木更津,高専機構,国立,千葉県,千葉県木更津市,https://www.kisarazu.ac.jp/,35.384245,139.955232,G112110102692
東京工業高等専門学校,東京,東京,高専機構,国立,東京都,東京都八王子市,https://www.tokyo-ct.ac.jp/,35.638624,139.299028,G113110104564
長岡工業高等専門学校,長岡,長岡,高専機構,国立,新潟県,新潟県長岡市,https://www.nagaoka-ct.ac.jp/,37.432713,138.888849,G115110105302
長野工業高等専門学校,長野,長野,高専機構,国立,長野県,長野県長野市,https://www.nagano-nct.ac.jp/,36.679049,138.232704,G120110105966
石川工業高等専門学校,石川,石川,高専機構,国立,石川県,石川県津幡町,https://www.ishikawa-nct.ac.jp/,36.663439,136.738541,G117110105578
福井工業高等専門学校,福井,福井,高専機構,国立,福井県,福井県鯖江市,https://www.fukui-nct.ac.jp/,35.936691,136.170252,G118110105666
岐阜工業高等専門学校,岐阜,岐阜,高専機構,国立,岐阜県,岐阜県本巣市,https://www.gifu-nct.ac.jp/,35.447278,136.672658,G121110106214
沼津工業高等専門学校,沼津,沼津,高専機構,国立,静岡県,静岡県沼津市,https://www.numazu-ct.ac.jp/,35.135929,138.884326,G122110106419
豊田工業高等専門学校,豊田,豊田,高専機構,国立,愛知県,愛知県豊田市,https://www.toyota-ct.ac.jp/,35.103526,137.148965,G123110107131
鈴鹿工業高等専門学校,鈴鹿,鈴鹿,高専機構,国立,三重県,三重県鈴鹿市,https://www.suzuka-ct.ac.jp/,34.849309,136.582052,G124110107256
舞鶴工業高等専門学校,舞鶴,舞鶴,高専機構,国立,京都府,京都府舞鶴市,https://www.maizuru-ct.ac.jp/,35.496076,135.441174,G126110107842
明石工業高等専門学校,明石,明石,高専機構,国立,兵庫県,兵庫県明石市,https://www.akashi.ac.jp/,34.695109,134.90215,G128110109189
奈良工業高等専門学校,奈良,奈良,高専機構,国立,奈良県,奈良県大和郡山市,https://www.nara-k.ac.jp/,34.647894,135.759005,G129110109348
和歌山工業高等専門学校,和歌山,和歌山,高専機構,国立,和歌山県,和歌山県御坊市,https://www.wakayama-nct.ac.jp/,33.833885,135.177896,G130110109407
米子工業高等専門学校,米子,米子,高専機構,国立,鳥取県,鳥取県米子市,https://www.yonago-k.ac.jp/,35.456211,133.288331,G131110109451
松江工業高等専門学校,松江,松江,高専機構,国立,島根県,島根県松江市,https://www.matsue-ct.ac.jp/,35.496184,133.025828,G132110109496
津山工業高等専門学校,津山,津山,高専機構,国立,岡山県,岡山県津山市,https://www.tsuyama-ct.ac.jp/,35.082138,134.012946,G133110109770
呉工業高等専門学校,呉,呉,高専機構,国立,広島県,広島県呉市,https://www.kure-nct.ac.jp/,34.232868,132.60232,G134110110035
徳山工業高等専門学校,徳山,徳山,高専機構,国立,山口県,山口県周南市,https://www.tokuyama.ac.jp/,34.052029,131.846605,G135110110203
宇部工業高等専門学校,宇部,宇部,高専機構,国立,山口県,山口県宇部市,https://www.ube-k.ac.jp/,33.955265,131.274384,G135110110212
