id,name_ja,name_en,img_emblem,origin_emblem_text,origin_emblem_url
hakodate,函館高専,"NIT, Hakodate KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/0.jpg,本校の校章は、函館市の木である イチイ(別名オンコ) の枝の濃緑の 葉と赤く熟した実に 「豊かな自然」 と「情熱」を、固く結ばれた青いリ ボンに「青雲の志」を象徴させ、そ の中で、未来にはばたく有為人材を 育成する高等教育機関として、永遠 に光り輝く「函館高専」の姿をデザ インしたものです。,https://www.hakodate-ct.ac.jp/wp-content/uploads/2011/11/01%E8%A1%A8%E7%B4%99%E3%83%BB%E7%9B%AE%E6%AC%A1%E3%83%BB%E5%AD%A6%E5%B9%B4%E6%9A%A6-1.pdf
tomakomai,苫小牧高専,"NIT, Tomakomai KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/1.jpg,本校の校章は，その所在地の苫小牧の地名にちなみ，外形に10 個のかたかなの「マ」を組み合せて「トマ」とし，北極星を形どったもので，本校に学ぶ学生が北極星のように清く輝かしく成長することを願うものです。,https://www.tomakomai-ct.ac.jp/outline/koka
kushiro,釧路高専,"NIT, Kushiro KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/2.jpg,"釧路市章に「高専J の2 字を重ねて、本校の所在を明らかにした。 釧路市章は、星の形の中に〇を描いたもので、星の形は北国（北極星）を象徴しており、また、釧路の「釧」（セン）の字は、1 字で「クシ口」と読み、 万葉集などにも出てくる字で、""うで輪""を意味するとされており、装身具としての""うで輪""を〇で表したものとされている。 この〇は「和」を表現するものである。 「高専J の2 字の金色は、希望と繁栄を表し、星形のイブシ銀色は北の海の色に、また、鋭い角は道東の厳しい気象にそれぞれ相通ずるものであ る。 〇（和）は、「高専」の2 字の下にあって見えないが、精神的結合を期待しているものである。",https://www.kushiro-ct.ac.jp/2011/05/20/3257/
asahikawa,旭川高専,"NIT, Asahikawa KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/3.jpg,"左右の旭光は本校学生の将来の輝かしい発展を意味し，高専の左右の3本の弧線は本校の教育方針である明朗で誠実，しかも技術革新に対応する新しいタイプの技術者を養成する3つの意味を有しています。旭光は旭川の旭を，3本の線は旭川の川を象徴しています。この図案は，本校初代校長原田準平氏の手によるものです。",https://www.asahikawa-nct.ac.jp/gakkou/index1.html
hachinohe,八戸高専,"NIT, Hachinohe KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/4.jpg,リボン様の部分は伸びゆく白亜の校舎の建つ八戸、そして新産都市に指定された八戸を象徴する「八」、そしてローマ字の「Ｈ」を表わし、あわせて無限に伸びようとする我が八戸高専の未来を示している。,https://www.hachinohe-ct.ac.jp/schoolguide/
ichinoseki,一関高専,"NIT, Ichinoseki KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/5.jpg,"平安時代において奥羽文化の中心であった平泉藤原氏の勢力は、一関にも及んでいたと考えられます。この平泉文化を代表する中尊寺の金色堂には、国宝として 荘厳な装飾である華鬘（けまん）があります。それは、人頭、鳥身の想像上の鳥を象っている迦陵頻伽（かりょうびんが）を透彫したものです。本校章は、この地域文化を象徴する迦陵頻伽をバックに、豊かな教養と高度の専門技術を身につけた実践的な工業技術者の育成を建学の理念とする「一関高専」の姿をデザインしたものです。",https://www.ichinoseki.ac.jp/about/badge.html
sendai,仙台高専,"NIT, Sendai KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/6.jpg,「心のある技術者，そして，心に訴えるモノづくりができる人材を育ててほしいという思いを込めて「心」を図案化」,https://www.sendai-nct.ac.jp/college/song/
akita,秋田高専,"NIT, Akita KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/7.jpg,"左右に配した“A”は本校の所在地“秋田”のイニシャルであり、最も優れている、すべてに先に立つことを表す文字であるところから“英知と率先の気風”を表す。“A(アルファ)”は星座の中でも最も輝く首星に名付けられるところから建学の気風としていた“日本一の高専”を目指すことを表し、また“未知”の意をもつ文字であるところから“A”と“A(アルファ)”を相対して配置することによって“英知と率先の気風をもって未知に対する”エンジニア精神を象徴した。",https://www.akita-nct.ac.jp/school/koushou/
tsuruoka,鶴岡高専,"NIT, Tsuruoka KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/8.jpg,山形県の「山」の文字を地として，「高専」の両側に出羽の国の「羽」を配し，鶴岡の「鶴」の華麗にして雄々しい羽ばたきを象徴しています。,https://www.tsuruoka-nct.ac.jp/annai/kouka_kousyou/
fukushima,福島高専,"NIT, Fukushima KOSEN",https://codeforkosen.github.io/kosen-opendata/data/school_emblem/school_emblem_1/9.jpg,要確認,要確認
