department,year,base,unit,count
機械工学科,1962,国立,学科,12
機械工学科,1962,国立,学級,18
機械工学科,1962,公立,学科,2
機械工学科,1962,公立,学級,6
機械工学科,1962,私立,学科,4
機械工学科,1962,私立,学級,7
機械工学科,1962,計,学科,18
機械工学科,1962,計,学級,31
生産機械工学科,1962,国立,学科,0
生産機械工学科,1962,国立,学級,0
生産機械工学科,1962,公立,学科,0
生産機械工学科,1962,公立,学級,0
生産機械工学科,1962,私立,学科,0
生産機械工学科,1962,私立,学級,0
生産機械工学科,1962,計,学科,0
生産機械工学科,1962,計,学級,0
機械電気工学科,1962,国立,学科,0
機械電気工学科,1962,国立,学級,0
機械電気工学科,1962,公立,学科,0
機械電気工学科,1962,公立,学級,0
機械電気工学科,1962,私立,学科,0
機械電気工学科,1962,私立,学級,0
機械電気工学科,1962,計,学科,0
機械電気工学科,1962,計,学級,0
金属工学科,1962,国立,学科,0
金属工学科,1962,国立,学級,0
金属工学科,1962,公立,学科,0
金属工学科,1962,公立,学級,0
金属工学科,1962,私立,学科,0
金属工学科,1962,私立,学級,0
金属工学科,1962,計,学科,0
金属工学科,1962,計,学級,0
機械システム工学科,1962,国立,学科,0
機械システム工学科,1962,国立,学級,0
機械システム工学科,1962,公立,学科,0
機械システム工学科,1962,公立,学級,0
機械システム工学科,1962,私立,学科,0
機械システム工学科,1962,私立,学級,0
機械システム工学科,1962,計,学科,0
機械システム工学科,1962,計,学級,0
知能機械工学科,1962,国立,学科,0
知能機械工学科,1962,国立,学級,0
知能機械工学科,1962,公立,学科,0
知能機械工学科,1962,公立,学級,0
知能機械工学科,1962,私立,学科,0
知能機械工学科,1962,私立,学級,0
知能機械工学科,1962,計,学科,0
知能機械工学科,1962,計,学級,0
材料工学科,1962,国立,学科,0
材料工学科,1962,国立,学級,0
材料工学科,1962,公立,学科,0
材料工学科,1962,公立,学級,0
材料工学科,1962,私立,学科,0
材料工学科,1962,私立,学級,0
材料工学科,1962,計,学科,0
材料工学科,1962,計,学級,0
環境材料工学科,1962,国立,学科,0
環境材料工学科,1962,国立,学級,0
