year,type,num,title,description,kosen
2019,課題部門,1,まちもりブザー,-地域で子どもを見守る防犯システム-,熊本(八代)
2019,課題部門,2,CHEER RING,-地域マラソン応援システム-,熊本(熊本)
2019,課題部門,3,TOZAN,-もっと楽しく運動!地元の山がゲームの舞台に!-,阿南
2019,課題部門,4,Search-a-BLE,-さがし、つながる街づくり-,弓削商船
2019,課題部門,5,ひなタイム,-宮崎のいいとこ、おひさまが教えてくれるっちゃが!-,都城
2019,課題部門,6,スマートカーブミラー,-高齢歩行者交通事故防止システム-,米子
2019,課題部門,7,ぶらり案内板,-周辺散策補助アプリケーション-,岐阜
2019,課題部門,8,:::doc,-自動点字相互翻訳システム-,東京
2019,課題部門,9,うみまもる,-離岸流事故防止システム-,沖縄
2019,課題部門,10,ANIMAL CAPTURE,-車椅子利用者向けの新ARゲーム-,松江
2019,課題部門,11,Safety双光,-高齢者の自動車事故を防ぎ安心できる街づくり-,国際
2019,課題部門,12,uniHome,-地域と都会に住む家族をひとつに-,沖縄
2019,課題部門,13,語Live-カタリベ-,,呉
2019,課題部門,14,Unexplored Road Explorer,,香川(詫間)
2019,課題部門,15,とばまっぷ,-現在・過去・未来のまちの姿を地図上に可視化-,鳥羽商船
2019,課題部門,16,TOWN HERO,-地域で助け合うWEBアプリケーション-,呉
2019,課題部門,17,あつまれ!ボランティアの森,,小山
2019,課題部門,18,Agricowture,-近未来型放牧牛管理システム-,都立(品川)
2019,課題部門,19,セイドック,-地方自治制度の管理・紹介システム-,豊田
2019,課題部門,20,Graffiti Arcade,-ラクガキ出来る商店街-,松江
2019,自由部門,1,DLMS,-ドローンによる線路監視システム-,小山
2019,自由部門,2,Gulliver Blocks,-VRで新しい創造体験を-,東京
2019,自由部門,3,あなたとリビング,-遠隔日常会話実現デバイス-,鈴鹿
2019,自由部門,4,NukuNuku,-熱が見える不思議なデスク-,有明
2019,自由部門,5,あ!水ダス(AMIZDAS),-水災害を自ら防ぐ水位監視システム-,阿南
2019,自由部門,6,ふろっく,,仙台(広瀬)
2019,自由部門,7,GooTravel,-オフライン下のインバウンド支援システム-,沖縄
2019,自由部門,8,JO−HARI,,鳥羽商船
2019,自由部門,9,アリスteaパーティー,,広島商船
2019,自由部門,10,Silent Recorder,,熊本(八代)
2019,自由部門,11,Child−like,-子どもの「得意」を知る学習支援システム-,一関
2019,自由部門,12,玄白,-内視鏡手術支援裸眼立体視インターフェース-,サレジオ
2019,自由部門,13,ハザップ,-避難訓練に革新を!-,都城
2019,自由部門,14,Cre:えいと,,香川(詫間)
2019,自由部門,15,Re:Take,-反転授業時代のビデオ作成システム-,弓削商船
2019,自由部門,16,CanGakki,-組み替え可能な知育管楽器-,八戸
2019,自由部門,17,TBM,-TrashBoxManager-,岐阜
2019,自由部門,18,観音,-音のミエル世界へ-,大島商船
2019,自由部門,19,CCCeB,-コメントで繋がる教育支援システム-,熊本(熊本)
2019,自由部門,20,FormTube,-運動姿勢を評価するサポートシステム-,熊本(熊本)
