year,type,num,kosen,title,youtube,body
2020,自由部門,1,東京高専,Kiseki Sketch あなただけの地上絵を,https://www.youtube.com/watch?v=kGZ-tcQfXwM#t=234,"ダイエットや健康のためにランニングを始めても,つらくなりやめてしまう人が多くいます.Kiseki Sketchは「ナスカの地上絵」の様な地上絵を軌跡として地図上に描くことで,ランニングに新しい楽しみを追加します.またチームで描画することで連帯感や達成感を共有します.ユーザーやチーム同士で地上絵を評価し,競い合うこともできます.安心安全に最大限配慮したルートを作成し,ナビゲートしてくれます."
2020,自由部門,2,熊本高専(八代),Ryo de Share! 寮生活支援システム,https://www.youtube.com/watch?v=kGZ-tcQfXwM#t=1870,"現在、新型コロナウイルスの影響で高専寮での生活に厳しい制限が設けられています。新型コロナウイルス対策(以下コロナ対策)として3 密を避けるため、寮生を寮務委員会から割り当てられたグループに分け、食事、入浴の時間をずらして生活をしています。このため、自由に時間を使うことができず、窮屈な生活になってしまいます。
そこで、寮生の食事、入浴時間の希望を最大限反映し、なおかつ、コロナ対策も行うことが・・・"
2020,自由部門,3,石川高専,シマエーる きみだけの応援団鳥,https://www.youtube.com/watch?v=kGZ-tcQfXwM#t=3664,"近代社会は,ストレスを抱えやすい環境になっています.厚生労働省の調査(平成28 年度・生活基礎調査の概要)によると,日常生活で悩みやストレスを抱えている人(12 歳以上)は47.7%となっており,約半数の人が身体的・精神的にダメージを負っていることがわかります.また,12~19 歳では男性31.1%・女性39.9%となっています.青春を謳歌し,輝かしく思われる10代も人知れず悩みを抱えている・・・"
2020,自由部門,4,沼津高専,Virtual Hang Out xR空間共有システム,https://www.youtube.com/watch?v=kGZ-tcQfXwM#t=5460,2020年、COVID-19の影響で、県外移動や外出の自粛が行われています。「家族や友人と会えない」という状況は、多くの人間にストレスを与えています。実際に会う場合と画面越しでは、「体全体が見られない。」「空間を共有できない。」「端末の目の前にいる必要があり、行動範囲の制約が大きい。」などの違いがあります。これらの問題を解決できる方法こそが仮想現実(VR)であり、私たちの制作した「Virtu・・・
2020,自由部門,5,岐阜高専,見え家事,https://www.youtube.com/watch?v=kGZ-tcQfXwM#t=7287,家事は日常生活を送るための基盤であり、欠かせない要素である。その種類は多種多様であり、炊事・洗濯・掃除などのはっきりとした家事もあれば、名前もつかないような細かな家事も存在する。これは「見えない家事」と呼ばれ、物品の補充などのその状態であることが当たり前と認識されやすい家事のため、される側の理解が及びにくい傾向にある。そこで私たちは「見えない家事」を「見える化」し、家事への理解とモチベーショ・・・
2020,自由部門,6,津山高専,シュワちゃん 手話変換システム,https://www.youtube.com/watch?v=kGZ-tcQfXwM#t=10024,"いま 、世界中で新型コロナウイルス感染症(COVID-19)が流行しています。それに伴い、授業・会議・飲み会など、あらゆることがオンラインで行われるようになりました。しかし、聴覚障碍者は、電話を使用できないため、コミュニケーションに困難を抱えています。この状況に限らず、聴覚障碍者は病院の予約や緊急の電話(110番や119番)をすることが難しい状態にあります。
このような方々は、普段どのように・・・"
2020,自由部門,7,熊本高専(熊本),いろみっけ! みつけてまなぼう!カラーチャレンジ!,https://www.youtube.com/watch?v=kGZ-tcQfXwM#t=11743,"最近私たちには、自分から発信する機会や、発想力が試される機会が増えました。幼い頃から感性や発想力を養うことができたら色々な物事に活かせるのではないでしょうか。また、コロナウイルスの感染拡大により、私たちは「Stay Home」を心がけることとなりました。家で何をすればいいのか、思い悩んだ方も多いと思います。
これら点を踏まえて、私たちは「身近な色」「日本の伝統色」の持つ魅力や表現力に着目し、・・・"
2020,自由部門,8,香川高専(高松),seahorse 瀬戸内海をウマく繋ぐ会場タクシーシステム,https://www.youtube.com/watch?v=kGZ-tcQfXwM#t=13560,"本州西部、四国、九州に囲まれた日本最大の内海である瀬戸内海では、瀬戸内の島々に展示された様々なアート作品の鑑賞を楽しむ国際イベントである瀬戸内国際芸術祭が3 年に一度開催されています。このイベントでは、島から島への往来が増加し、現状は主にフェリーと海上タクシーが利用されています。このうち,海上タクシーは、好きな時刻や航路で利用できるメリットがある一方、フェリーより割高で予約手続きが難しいなど・・・"
2020,自由部門,9,福井高専,HousePointer 写真xAIで木造建築を守れ!,https://www.youtube.com/watch?v=YXLq_LzVBm4#t=210,"日本では、空き家が非常に増えてきており2019年現在で846万戸あるとされ、そういった古い空き家を管理せずに放置して老朽化させてしまうことがあり、家屋倒壊の危険性があるとして深刻な問題となっている。
また建築コストが安いことなどから木造住宅を選ぶ人が多く、木造建築の需要は高くなっている。そこで、木造の建築物を少しでも長い年月残すため、安全に管理するため、写真とAIから建築物の劣化状態を教えて・・・"
2020,自由部門,10,松江高専,VOICEWATCHER ARで会話を楽しく,https://www.youtube.com/watch?v=YXLq_LzVBm4#t=2015,"人と会話をするのは楽しいですよね。しかし「普通に会話するのって面白くないな」とか「自分の話は相手を楽しませられているか不安だな」と感じることが私達にはよくあります。そういうときは、たいていは自身のリアクションが薄かったり、会話の間が持たないなどいくつかの問題があったりします。
そこで私たちは会話をより面白く、楽しくする方法の一環として「Voice Watcher」を考えました。"
