year,type,num,id,title,description,kosen
2021,課題部門,1,10040,モチベアゲ太郎,-俺、成績もモチベも上げられる男になる-,松江
2021,課題部門,2,10023,安全仕事人,-体験型情報セキュリティ学習システム-,舞鶴
2021,課題部門,3,10014,HOW SAKU,"-植物育成,観察支援ソフト-",宇部
2021,課題部門,4,10010,マジメン,-マジのイクメンパパになるための育児ⅤR教材アプリ-,福井
2021,課題部門,5,10004,α-schoon,-必須アミノ酸カードゲーム-,群馬
2021,課題部門,6,10007,Pre Skate,-仮想スケート体験システム-,香川(高松)
2021,課題部門,7,10027,Remote Learning Commons,,岐阜
2021,課題部門,8,10015,ぐっコミュ,-楽しく討論を学べるシステム-,茨城
2021,課題部門,9,10042,T-each other,,富山(射水)
2021,課題部門,10,10020,ARLD,-ブロックプログラミングによるAR体験-,長野
2021,課題部門,11,10022,BODYHANDBELL,-身体で奏でるハーモニー-,東京
2021,課題部門,12,10021,KANJYO線,,小山
2021,課題部門,13,10026,Let’s AIdea!,,阿南
2021,課題部門,14,10002,SEN−KEN,,鳥羽商船
2021,課題部門,15,10017,学魚養食,-遠隔で養殖について学び、地域産業を体験し理解する-,鳥羽商船
2021,自由部門,1,20051,ヘルスチェア,-椅子と共に健康な生活を-,舞鶴
2021,自由部門,2,20038,五七GO,-赴くままに趣を-,熊本(熊本)
2021,自由部門,3,20027,RUCS,-次世代忘れ物防止システム-,仙台(広瀬)
2021,自由部門,4,20041,YOAMANE,-AIが学生のスケジュール管理をアシスト-,熊本(八代)
2021,自由部門,5,20026,ふろこん!,-フローチャート教育をもっと分かりやすく、効率よく!-,茨城
2021,自由部門,6,20004,SUNKAI,,鳥羽商船
2021,自由部門,7,20031,大筆を体感!AR書道,-特大筆で書道をやってみよう!-,徳山
2021,自由部門,8,20028,Sky Fit VR,-美しい景色と音楽の中で身体を鍛える-,釧路
2021,自由部門,9,20008,Smart Gathering,-未来の農業はもっと賢く-,大島商船
2021,自由部門,10,20033,翻訳展開!!,-ハンズフリー音声翻訳システム-,小山
2021,自由部門,11,20049,KSRIN,-安心・安全をあなたに-,秋田
2021,自由部門,12,20019,面接行動,-WEB面接トレーニングシステム-,米子
2021,自由部門,13,20015,りまいんどせる,-小学生向け通学時忘れ物防止支援システム-,沖縄
2021,自由部門,14,20012,お地蔵様といっしょ,-保育士のための園児見守りサポートシステム-,福井
2021,自由部門,15,20006,Auto Instructor,-AIリハビリ指導システム-,香川(高松)
