type,num,title,description,kosen,poster,photo
課題部門,1,ARATAG,-直接会えない人とも新しい鬼ごっこを-,都立（品川）,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0004.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t01.jpg
課題部門,2,リモートラベラーズ,-オンラインで友達と旅行ができるアプリ-,阿南,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0005.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t02.jpg
課題部門,3,VR 集団行動,-オンラインで楽しく育む友情-,徳山,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0006.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t03.jpg
課題部門,4,StudioH2,-お化け屋敷構築支援環境-,米子,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0007.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t04.jpg
課題部門,5,ちいさなまち,-正しい感染予防を学べるオンラインゲーム-,一関,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0008.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t05.jpg
課題部門,6,とーふとーく,,津山,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0009.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t06.jpg
課題部門,7,ASTERISMS world,-#星と人を結ぶ私の星座-,東京,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0010.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t07.jpg
課題部門,8,釣りちゅーぶ,-メタバースとリアルのライブ配信-,鳥羽商船,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0011.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t08.jpg
課題部門,9,お神輿わっしょい,-自宅で神輿担ぎを疑似体験-,福井,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0012.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t09.jpg
課題部門,10,DEVELO,-ミライにつながるデータファンディング-,舞鶴,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0013.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t10.jpg
課題部門,11,行動受注集会所,-ACT EASILY IN GROUPS-,阿南,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0014.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t11.jpg
課題部門,12,AOMOA,-For to your VR life-,大島商船,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0015.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t12.jpg
課題部門,13,Voice Cat,,香川(詫間),https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0016.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t13.jpg
課題部門,14,パドりん,-VR カヌー体験システム-,香川(高松),https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0017.png,
課題部門,15,Maru Vatu Possible,-〇×クイズ支援システム-,豊田,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0018.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t15.jpg
課題部門,16,PaOn,-ぴえんを越える ParkOnline-,福井,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0019.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t16.jpg
課題部門,17,TSU-WA,-会話スキル向上アプリ-,茨城,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0020.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t17.jpg
課題部門,18,AROA,-拡張現実で日常に競争を-,沖縄,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0021.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t18.jpg
課題部門,19,HEXELLENT !,,函館,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0022.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t19.jpg
課題部門,20,OMIAI,,鳥羽商船,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0023.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/t20.jpg
課題部門,21,VNU VR Guidebook,-An Exploration of Vietnam National University in VR-,ハノイ国家大学,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0024.png,
課題部門,22,Escape this class,,タイ高専,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-theme/0025.png,
自由部門,1,HEALTH KEEPER,,都城,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-free/0004.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/f01.jpg
自由部門,2,Vegeoku,－規格外野菜　×　オンラインオークション－ ,東京,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-free/0005.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/f02.jpg
