type,num,hacku_tweet,hacku_youtube,hacku_interview
課題部門,1,https://twitter.com/hackujp/status/1581472212250374150,,
課題部門,2,https://twitter.com/hackujp/status/1581473523511410688,,
課題部門,3,https://twitter.com/hackujp/status/1581474845241802752,,
課題部門,4,https://twitter.com/hackujp/status/1581476421288923136,,
課題部門,5,https://twitter.com/hackujp/status/1581478197639532544,,
課題部門,6,https://twitter.com/hackujp/status/1581480048606867456,,
課題部門,7,https://twitter.com/hackujp/status/1581481709689659392,,
課題部門,8,https://twitter.com/hackujp/status/1581483523570954241,https://www.youtube.com/watch?v=rOr0CrfxRIs#t=3h25m13,https://www.youtube.com/watch?v=rOr0CrfxRIs#t=3h28m17
課題部門,9,https://twitter.com/hackujp/status/1581484396418199557,,
課題部門,10,https://twitter.com/hackujp/status/1581486076002066433,,
課題部門,11,https://twitter.com/hackujp/status/1581487646223712257,https://www.youtube.com/watch?v=rOr0CrfxRIs#t=3h41m50,https://www.youtube.com/watch?v=rOr0CrfxRIs#t=3h44m52
課題部門,12,https://twitter.com/hackujp/status/1581489488219414528,,
課題部門,13,https://twitter.com/hackujp/status/1581491249525071873,,
課題部門,14,https://twitter.com/hackujp/status/1581492990664581121,,
課題部門,15,https://twitter.com/hackujp/status/1581494426966163456,,
課題部門,16,https://twitter.com/hackujp/status/1581495969102721025,https://www.youtube.com/watch?v=rOr0CrfxRIs#t=4h15m33,https://www.youtube.com/watch?v=rOr0CrfxRIs#t=4h18m01
課題部門,17,https://twitter.com/hackujp/status/1581497584509587456,,
課題部門,18,https://twitter.com/hackujp/status/1581499225279320064,,
課題部門,19,https://twitter.com/hackujp/status/1581500884990578689,https://www.youtube.com/watch?v=rOr0CrfxRIs#t=4h34m20,https://www.youtube.com/watch?v=rOr0CrfxRIs#t=4h37m03
課題部門,20,https://twitter.com/hackujp/status/1581502526397943809,,
課題部門,21,,,
課題部門,22,,,
自由部門,1,https://twitter.com/hackujp/status/1581434415225315330,,
自由部門,2,https://twitter.com/hackujp/status/1581435929163464704,,
自由部門,3,,,
自由部門,4,https://twitter.com/hackujp/status/1581437770945339394,,
自由部門,5,https://twitter.com/hackujp/status/1581439602040049664,,
自由部門,6,https://twitter.com/hackujp/status/1581441455578484737,,
自由部門,7,https://twitter.com/hackujp/status/1581443284823465984,,
自由部門,8,https://twitter.com/hackujp/status/1581444774296313856,,
自由部門,9,https://twitter.com/hackujp/status/1581446279325810688,,
自由部門,10,https://twitter.com/hackujp/status/1581447959836696576,,
自由部門,11,https://twitter.com/hackujp/status/1581450372521947138,,
自由部門,12,https://twitter.com/hackujp/status/1581453481231011840,,
自由部門,13,https://twitter.com/hackujp/status/1581453634247630849,,
自由部門,14,https://twitter.com/hackujp/status/1581454881285545986,,
自由部門,15,https://twitter.com/hackujp/status/1581456538396336129,,
自由部門,16,https://twitter.com/hackujp/status/1581458045216837632,,
自由部門,17,https://twitter.com/hackujp/status/1581460004380430337,,
自由部門,18,https://twitter.com/hackujp/status/1581461173081231360,,
自由部門,19,https://twitter.com/hackujp/status/1581462799255212036,,
自由部門,20,https://twitter.com/hackujp/status/1581464373322665984,,
自由部門,21,,,
自由部門,22,,,
自由部門,23,,,
自由部門,24,,,
自由部門,25,,,
