year,type,num,title,description,kosen,poster,youtube,photo,prize
2023,課題部門,1,I-POST,世界一シンプルなコミュニケーションを,舞鶴,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0019.jpg,,,
2023,課題部門,2,Imagine Quest,リアルタイム生成型アドベンチャー,石川,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0020.jpg,,,
2023,課題部門,3,BLAST OF BRAIN,,大島商船,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0021.jpg,,,特別賞
2023,課題部門,4,転生将棋,新感覚中盤トレーニング,熊本（八代）,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0022.jpg,,,最優秀賞
2023,課題部門,5,Re:paint,,鈴鹿,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0023.jpg,,,
2023,課題部門,6,KARTAR,オンラインxかるたxARで生み出す新たな可能性,沖縄,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0024.jpg,,,
2023,課題部門,7,Asamit!,朝に乗って価値ある活動を応援しあうアプリ,豊田,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0025.jpg,,,
2023,課題部門,8,UPUPUP,,香川（詫間）,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0026.jpg,,,特別賞
2023,課題部門,9,NABASE,,津山,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0027.jpg,,,
2023,課題部門,10,フローラ＆フォーナ コレクション,お気に入りの一冊を,東京,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0028.jpg,,,
2023,課題部門,11,OhM,音楽の世界を作り育て上げよう,神戸市立,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0029.jpg,,,
2023,課題部門,12,Janken Arena,Revise the hand,香川（高松）,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0030.jpg,,,
2023,課題部門,13,biblio connect,,神山,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0031.jpg,,,
2023,課題部門,14,FishCam,遊漁船楽のオンライン安全確認・釣果共有システム,鳥羽商船,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0032.jpg,,,優秀賞
2023,課題部門,15,アプラカタブレイン,,舞鶴,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0033.jpg,,,
2023,課題部門,16,Share Sports,,奈良,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0034.jpg,,,
2023,課題部門,17,Joint Draw,気軽な合作,松江,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0035.jpg,,,
2023,課題部門,18,CYBER WARS,セキュリティ初学者の夜明け,阿南,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0036.jpg,,,特別賞
2023,課題部門,19,ANNECT,,函館,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0037.jpg,,,特別賞
2023,課題部門,20,Learn Mate,学生の学生による学生のための連絡アプリ,有明,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0038.jpg,,,NICT賞
2023,課題部門,21,Z-crafto,,モンゴルコーセン,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0039.jpg,,,
2023,課題部門,22,Virtual band,,タイ高専,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0040.jpg,,,
2023,自由部門,1,わんもあ,砂と鏡で創るもう一つの世界,香川（詫間）,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0044.jpg,,,最優秀賞
2023,自由部門,2,Wash Board,学生寮の洗濯管理をスマートに,松江,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0045.jpg,,,特別賞
2023,自由部門,3,Ecoffeizer,アワリカのコーヒー農家に革新を,茨城,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0046.jpg,,,
2023,自由部門,4,μ sight,ひとりでも合奏がしたいAR合奏練習アプリ,神山,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0047.jpg,,,特別賞
2023,自由部門,5,ProPose,日常動作解析システム,米子,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0048.jpg,,,
2023,自由部門,6,ばどろーる,安心・安全なカヤック支援システム,鳥羽商船,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0049.jpg,,,優秀賞
2023,自由部門,7,VibraSymphony,全ての人にリアルなVR体験を,石川,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0050.jpg,,,NICT賞
2023,自由部門,8,ホロアクリ,アクリル廃材を利用した創作システム,沖繩,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0051.jpg,,,
2023,自由部門,9,virtuAl,プラットフォームで楽く、AIアートと人の架け橋,束京,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0052.jpg,,,
2023,自由部門,10,ColorLens,画像に基づく配色の提案・補助アプリ,長岡,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0053.jpg,,,
2023,自由部門,11,SeQuick,気軽な学習ゲームで、セキュリティ人材を増やそう,久留米,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0054.jpg,,,特別賞
2023,自由部門,12,ARTart,,神山,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0055.jpg,,,
2023,自由部門,13,フローチャッピー,理解するプログラミング,高知,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0056.jpg,,,
2023,自由部門,14,服薬守くん,メディカルサポーター,小山,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0057.jpg,,,
2023,自由部門,15,らくらくヘルスシェア,お年寄りの健康管理に革命を,サレジオ,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0058.jpg,,,
2023,自由部門,16,ニジマス,虹、見えマス,広島商船,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0059.jpg,,,
2023,自由部門,17,チャリレコ,1人1人の未来を守る次世代システム,福井,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0060.jpg,,,
2023,自由部門,18,キョウサポ,,神戸市立,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0061.jpg,,,
2023,自由部門,19,継承の玉華,VRで切り開く花火職人道,大島商船,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0062.jpg,,,特別賞
2023,自由部門,20,ポタモス,没入感あふれる水害避難シミュレーター,群馬,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0063.jpg,,,
2023,自由部門,21,家畜数え,,モンゴルコーセン,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0064.jpg,,,
2023,自由部門,22,Artlet,,新モンゴル高専,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0065.jpg,,,
2023,自由部門,23,Gift.O,,シンガポールポリテクニック,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0066.jpg,,,
2023,自由部門,24,Virtual Reality Therapeutic Application for Stress Reduction,,キングモンクット工科大,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0067.jpg,,,
2023,自由部門,25,Authentication Via Discord Bot,,タイ高専,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2023/0068.jpg,,,
