学校コード,学校種,都道府県番号,設置区分１,本分校,学校名,学校所在地,郵便番号,属性情報設定年月日,属性情報廃止年月日,旧学校調査番号,移行後の学校コード
F101110100010,F1,01,1,1,北海道大学,札幌市北区北８条西５丁目,0600808,2021-01-20,,0100,
F101110100029,F1,01,1,1,北海道教育大学,札幌市北区あいの里５条３－１－３,0028501,2021-01-20,,0104,
F101110100038,F1,01,1,1,室蘭工業大学,室蘭市水元町２７－１,0508585,2021-01-20,,0108,
F101110100047,F1,01,1,1,小樽商科大学,小樽市緑３－５－２１,0478501,2021-01-20,,0112,
F101110100056,F1,01,1,1,帯広畜産大学,帯広市稲田町西２線１１,0800834,2021-01-20,,0116,
F101110100065,F1,01,1,1,北見工業大学,北見市公園町１６５,0908507,2021-01-20,,0120,
F101110100074,F1,01,1,1,旭川医科大学,旭川市緑が丘東２条１－１－１,0788510,2021-01-20,,0404,
F101210100081,F1,01,2,1,札幌医科大学,札幌市中央区南１条西１７－２９１,0608556,2021-01-20,,1100,
F101210100090,F1,01,2,1,公立はこだて未来大学,函館市亀田中野町１１６－２,0410803,2021-01-20,,1102,
F101210100107,F1,01,2,1,釧路公立大学,釧路市芦野４－１－１,0850061,2021-01-20,,1104,
F101210100116,F1,01,2,1,名寄市立大学,名寄市西４条北８丁目１,0968641,2021-01-20,,1105,
F101210100125,F1,01,2,1,札幌市立大学,札幌市南区芸術の森１丁目,0050864,2021-01-20,,1106,
F101210100134,F1,01,2,1,公立千歳科学技術大学,千歳市美々７５８－６５,0668655,2021-01-20,,1107,
F101310100141,F1,01,3,1,札幌大学,札幌市豊平区西岡３条７丁目３－１,0628520,2021-01-20,,2001,
F101310100150,F1,01,3,1,札幌学院大学,江別市文京台１１,0698555,2021-01-20,,2002,
F101310100169,F1,01,3,1,函館大学,函館市高丘町５１－１,0420955,2021-01-20,,2003,
F101310100178,F1,01,3,1,藤女子大学,札幌市北区北１６西２－１－１,0010016,2021-01-20,,2004,
F101310100187,F1,01,3,1,北星学園大学,札幌市厚別区大谷地西２－３－１,0048631,2021-01-20,,2005,
F101310100196,F1,01,3,1,北海学園大学,札幌市豊平区旭町４丁目１－４０,0628605,2021-01-20,,2006,
F101310100203,F1,01,3,1,北海道科学大学,札幌市手稲区前田７条１５－４－１,0068585,2021-01-20,,2007,
F101310100212,F1,01,3,1,酪農学園大学,江別市文京台緑町５８２番地,0698501,2021-01-20,,2008,
F101310100221,F1,01,3,1,旭川大学,旭川市永山３条２３－１－９,0798413,2021-01-20,,2009,
F101310100230,F1,01,3,1,北海道医療大学,石狩郡当別町字金沢１７５７,0610293,2021-01-20,,2011,
F101310100249,F1,01,3,1,北海商科大学,札幌市豊平区豊平６－６－１０,0628607,2021-01-20,,2012,
F101310100258,F1,01,3,1,星槎道都大学,北広島市中の沢149,0611196,2021-01-20,,2014,
F101310100267,F1,01,3,1,北海道情報大学,江別市西野幌５９－２,0698585,2021-01-20,,2015,
F101310100276,F1,01,3,1,札幌国際大学,札幌市清田区清田4条1丁目4-1,0048602,2021-01-20,,2016,
F101310100285,F1,01,3,1,北翔大学,江別市文京台２３,0698511,2021-01-20,,2017,
F101310100294,F1,01,3,1,北洋大学,苫小牧市錦西町３丁目２番１号,0591266,2021-01-20,,2019,
F101310100301,F1,01,3,1,日本赤十字北海道看護大学,北見市曙町６６４番１,0900011,2021-01-20,,2020,
F101310100310,F1,01,3,1,北海道文教大学,恵庭市黄金中央５丁目１９６番地１,0611449,2021-01-20,,2021,
F101310100329,F1,01,3,1,天使大学,札幌市東区北１３条東３丁目１番３０号,0650013,2021-01-20,,2022,
F101310100338,F1,01,3,1,育英館大学,稚内市若葉台１丁目２２９０番地２８,0970013,2021-01-20,,2023,
F101310100347,F1,01,3,1,札幌大谷大学,札幌市東区北１６条東９丁目,0650016,2021-01-20,,2025,
F101310100356,F1,01,3,1,札幌保健医療大学,札幌市東区中沼西４条２－１－１５,0070894,2021-01-20,,2026,
F101310100365,F1,01,3,1,日本医療大学,札幌市豊平区月寒東3条11丁目50号,0620053,2021-01-20,,2027,
F101310100374,F1,01,3,1,北海道千歳リハビリテーション大学,千歳市里美２－１０,0660055,2021-01-20,,2028,
F201310100382,F2,01,3,1,旭川大学短期大学部,旭川市永山３条２３－１－９,0798413,2021-01-20,,5001,
F201310100391,F2,01,3,1,帯広大谷短期大学,河東郡音更町希望が丘３－３,0800335,2021-01-20,,5004,
F201310100408,F2,01,3,1,釧路短期大学,釧路市緑ケ岡１－１０－４２,0850814,2021-01-20,,5005,
F201310100417,F2,01,3,1,光塩学園女子短期大学,札幌市南区真駒内上町３－１－１,0050012,2021-01-20,,5006,
F201310100426,F2,01,3,1,札幌大谷大学短期大学部,札幌市東区北１６条東９丁目,0650016,2021-01-20,,5007,
F201310100435,F2,01,3,1,函館大谷短期大学,函館市鍛治１－２－３,0410852,2021-01-20,,5012,
F201310100444,F2,01,3,1,函館短期大学,函館市高丘町５２－１,0420955,2021-01-20,,5013,
F201310100453,F2,01,3,1,北星学園大学短期大学部,札幌市厚別区大谷地西２－３－１,0048631,2021-01-20,,5015,
F201310100462,F2,01,3,9,北海道科学大学短期大学部,札幌市手稲区前田７条１５－４－１,0068585,2021-01-20,2022-05-01,5019,
F201310100471,F2,01,3,1,北翔大学短期大学部,江別市文京台２３,0690833,2021-01-20,,5020,
F201310100480,F2,01,3,1,拓殖大学北海道短期大学,深川市深川町メム４５５８－１,0740000,2021-01-20,,5021,
F201310100499,F2,01,3,1,北海道武蔵女子短期大学,札幌市北区北二二条西１３,0010022,2021-01-20,,5022,
